age,Sr,eSr,d13C_berner,ed13C,d13C_10_smooth,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC,sCAPd34S,esCAPd34S,sCAPd13C,esCAPd13C,sfpy,esfpy,smO2_1_berner,esmO2_1_berner,smO2_1_bergman,esmO2_1_bergman,smO2_1_fix,esmO2_1_fix,smO2_5_berner,esmO2_5_berner,smO2_5_bergman,esmO2_5_bergman,smO2_5_fix,esmO2_5_fix,smO2_bergman,esmO2_bergman,smO2_lenton,esmO2_lenton
230,78,1.641547689,2.5,0.3847536,3.175650818,1.1854995,20.5,0.388501394,0.6625,0.053,1.39,0.556,0.88,0.44,0.972,0.2187,1,0.2,0.67804,0.33902,0.96,0.48,0.542753184,0.122119466,0.044985143,0.022492572,1.7,5,0.4578,1.25,1.1,0.1925,0.75,0.16875,48.1,4,31.44822997,0,0,0,5.427391736,0,-3.180615013,0,0,0,5.427391736,0,-3.180615013,0,0,0,-3.180615013,0,-3.180615013,0
220,78,0.985739356,3.5,0.196524,3.368142583,0.752664376,19.3,0.266333125,0.6531,0.052248,1.23,0.492,0.9,0.45,0.971,0.218475,1,0.2,0.6708,0.3354,0.98,0.49,0.507580352,0.114205579,0.047101981,0.023550991,1.7,5,1.487,1.25,1.12,0.196,0.75,0.16875,47.3,4,30.99726672,0,0,0,12.31761189,0,0.183034752,0,0,0,12.31761189,0,0.183034752,0,0,0,0.183034752,0,0.183034752,0
210,78,3.060057145,2.5,0.383574975,2.084619831,1.270801538,18.1,0.319499609,0.6451,0.051608,1.23,0.492,0.9,0.45,0.968,0.2178,1,0.2,0.68915,0.344575,1.01,0.505,0.669193451,0.150568526,0.049218819,0.02460941,1.8,5,2.3375,1.25,1.14,0.1995,0.75,0.16875,46.2,4,30.66179406,0,0,0,-6.91803885,0,0.776195171,0,0,0,-6.91803885,0,0.776195171,0,0,0,0.776195171,0,0.776195171,0
200,75,2.104134882,2,0.1879056,1.032402895,1.586761885,17.9,2.642524046,0.6388,0.051104,1.36,0.544,0.91,0.455,0.965,0.217125,1,0.2,0.7075,0.35375,1.02,0.51,0.830806549,0.186931474,0.051335658,0.025667829,1.8,5,3.188,1.25,1.1,0.1925,0.75,0.16875,45.6,4,30.37819318,0,0,0,-11.77500381,0,0.369983766,0,0,0,-11.77500381,0,0.369983766,0,0,0,0.369983766,0,0.369983766,0
190,76,2.410689041,1.06,0.3734748,1.90915162,2.228422012,17.8,0.335459883,0.6342,0.050736,1.36,0.544,0.91,0.455,0.937,0.210825,1,0.2,0.717,0.3585,1.03,0.515,0.830806549,0.186931474,0.05262826,0.02631413,1.6,5,3.9155,1.25,1.09,0.19075,0.75,0.16875,45.2,4,31.95418873,0,0,0,-15.19928188,0,1.334721412,0,0,0,-15.19928188,0,1.334721412,0,0,0,1.334721412,0,1.334721412,0
180,75,1.91756914,1.22,0.2887056,1.190421238,3.485913728,17.7,1.136802533,0.6315,0.05052,1.25,0.5,0.89,0.445,0.909,0.204525,1,0.2,0.7265,0.36325,1.05,0.525,0.830806549,0.186931474,0.053920861,0.026960431,1.3,5,4.643,1.25,1.14,0.1995,0.75,0.16875,45,4,33.65539809,0,0,0,4.085315211,0,2.599219492,0,0,0,4.085315211,0,2.599219492,0,0,0,2.599219492,0,2.599219492,0
170,69,2.05173604,1.38,0.315702,1.427457476,2.342527003,17.3,0.800699694,0.6309,0.050472,1.25,0.5,0.87,0.435,0.914,0.20565,1,0.2,0.745871429,0.372935714,1.1,0.55,0.868664992,0.195449623,0.055213463,0.027606732,1,5,3.916428571,1.25,1.21,0.21175,0.75,0.16875,43.9,4,33.9926746,0,0,0,2.270985858,0,1.560115975,0,0,0,2.270985858,0,1.560115975,0,0,0,1.560115975,0,1.560115975,0
160,68,1.977830284,1.54,0.3146544,2.915363051,2.723108837,17.4,0.166373075,0.6324,0.050592,1.25,0.5,0.85,0.425,0.922,0.20745,1,0.2,0.765242857,0.382621429,1.12,0.56,0.906523434,0.203967773,0.055843643,0.027921822,0.7,5,3.189857143,1.25,1.27,0.22225,0.75,0.16875,43.8,4,31.27959171,0,0,0,3.324069156,0,2.827503559,0,0,0,3.324069156,0,2.827503559,0,0,0,2.827503559,0,2.827503559,0
150,69,2.874006237,1.7,0.383574975,1.804304132,1.331516933,16.5,0.936205985,0.6362,0.050896,1.24,0.496,0.83,0.415,0.93,0.20925,1,0.2,0.784614286,0.392307143,1.13,0.565,0.944381876,0.212485922,0.056473823,0.028236912,0.4,5,2.463285714,1.25,1.27,0.22225,0.75,0.16875,42.6,4,30.99726672,0,0,0,0.545255827,0,1.508452452,0,0,0,0.545255827,0,1.508452452,0,0,0,1.508452452,0,1.508452452,0
140,71,1.422186418,1.2,0.3734964,1.62077861,1.090266804,17.1,1.551400801,0.6424,0.051392,1.04,0.416,0.84,0.42,0.928,0.2088,1,0.2,0.809666667,0.404833333,1.15,0.575,0.996563574,0.224226804,0.057104002,0.028552001,0,5,2.1835,1.25,1.267,0.221725,0.767,0.172575,43.4,4,30.26032678,0,0,0,-4.645853408,0,-1.441085564,0,0,0,-4.645853408,0,-1.441085564,0,0,0,-1.441085564,0,-1.441085564,0
